image_name,squared l2 distance
00136_01,0.05551133722870458
00417_01,0.07729408395623695
00718_01,0.16081607698126482
00720_01,0.03434724578297099
00746_01,0.03538616422186146
00802_01,0.2934535445813007
00833_01,0.09750642928984246
00836_01,0.07283284210059279
00875_01,0.09939357991630149
01007_01,0.11533851757092915
01204_01,0.11224203191495132
01282_01,0.1847407292071043
01283_01,0.22670196503827578
01604_01,0.08480225372041669
01705_01,0.025572374519091147
01892_01,0.11485815207650237
02322_01,0.13402586800951952
02432_01,0.11301710973054506
02469_01,0.02471076365501696
02555_01,0.02276549562020156
02598_01,0.10241736204808691
03010_01,0.01795594105598943
03038_01,0.05236622166360332
03235_01,0.05479549268842918
03319_01,0.07849933817093299
03633_01,0.1962147052434487
03786_01,1.3979575037142502
04069_01,0.028915537446058244
04107_01,0.10238598370220574
04219_01,0.25568172200388717
04535_01,0.0949493132690642
04577_01,0.07977483044074608
04807_01,0.07905634731197742
04919_01,0.061996374902546836
04975_01,0.145311735435891
05145_01,0.050483391009915224
05622_01,0.3859170531657912
05639_01,0.24101936558837345
05676_01,0.0383021003282446
05949_01,0.030068639143511856
06000_01,0.10885870713559258
06025_01,0.10937972943466683
06104_01,0.16022825050696565
06157_01,0.1297465958538152
06204_01,0.15417407783731593
06471_01,0.09547038382754335
06784_01,0.1538417390398586
06869_01,0.11361062233671393
07800_01,0.06148078529710778
07838_01,0.18667752183330466
07935_01,0.0608256535978214
08321_01,0.14253135919561516
08552_01,0.05411223143421963
09037_01,0.13437142436197938
09132_01,0.0341965601371237
09577_01,0.05402258766294753
09620_01,0.13358152943216148
09717_01,0.19058480844027822
09769_01,0.04814155054086433
10243_01,0.03479149322296919
10409_01,0.17705702175975524
10430_01,0.1279711892080181
10656_01,0.04366581964438107
10765_01,0.02528362172507641
10823_01,0.1693183451624649
10856_01,0.15208600016992668
11093_01,0.07009570230324244
11218_01,0.1449924107878519
11272_01,0.026892355401132738
11412_01,0.060686297543165076
11485_01,0.10382570966318977
11525_01,0.22590810443072473
11710_01,0.12948159235240148
11952_01,0.08567632584445213
12329_01,0.08601092370475877
12469_01,2.069649910970538
12631_01,0.041909997555694294
12677_01,0.048145007195727826
12839_01,0.15564558678109341
12999_01,0.28228574347971347
13410_01,0.09994713829634075
13480_01,0.04769374248812027
13636_01,0.1053316306817428
13743_01,0.040416070408713645
14237_01,0.15686398114405636
14818_01,0.054367872882697274
14822_01,0.11258846636391671
14839_01,0.13758485607980442
15039_01,0.3336158809766137
15040_01,0.15390681302746534
15191_01,0.05371445636973185
15197_01,0.0892558309332674
15223_01,0.10917001211320465
15278_01,0.09542238753284162
15361_01,0.054569300689372234
15469_01,0.06294423897105633
16279_01,0.16234419592861707
16316_01,0.14334234491454323
16478_01,0.13561937537319263
16788_01,0.18431207990320586
16974_01,0.16288264155848275
17027_01,0.13969496092871742
17057_01,0.13311884115573946
17278_01,0.17000047957298955
17668_01,0.09615842040298872
17695_01,0.12993982084256106
17777_01,0.010595333665256987
18019_01,0.16334161446156745
18078_01,0.08012362447588542
18099_01,0.3496929317011689
18325_01,0.11036492436499784
18419_01,0.06378429424576101
18893_01,0.04897096681578334
18917_01,0.06401728990602688
19010_01,0.26434194256309596
19049_01,0.056870791929948455
19110_01,0.12644488007346225
19139_01,0.017072603532175518
19236_01,0.03810635858693347
19671_01,0.29791641620775167
19689_01,0.28098829402537484
19745_01,0.17803154825296674
19944_01,0.05948850247693833
19969_01,0.06618485295642679
20404_01,0.13404967055274014
20429_01,0.05999068635085112
20676_01,0.12470588714505344
20694_01,0.039655293755036444
20861_01,0.15089401540413339
20948_01,0.12002040444888412
21451_01,0.3905345016602725
21502_01,0.170406336544365
21540_01,0.2152461713266252
21729_01,0.018965945575244805
22001_01,0.07774344817193404
22082_01,0.10765913986669662
22135_01,0.37037693163255275
22197_01,0.13827745540321826
22198_01,0.16806324887116597
22264_01,0.075516184717712
22287_01,0.10453809356041233
22447_01,0.22130352988625
22662_01,0.13776864150213264
22677_01,0.12380749274356082
22785_01,0.048172474373286436
22807_01,0.16350269675432966
22808_01,0.2877949505485323
23107_01,0.14757214638270277
23222_01,0.07235189095777875
23722_01,0.020647039701551143
23841_01,0.1563968886754914
23909_01,0.08592209019514109
24021_01,0.05622347342219869
24347_01,0.14040557972700315
24576_01,0.08143173331081276
24666_01,0.15211919062212453
24888_01,0.0665763743347618
25015_01,0.1535586176340279
25030_01,0.07237603460760807
25524_01,0.11682604023573925
25545_01,0.0266910334494701
25555_01,0.07490052129401922
25596_01,0.07107344285163249
25611_01,0.10395232714611743
26065_01,0.08467086496399912
26176_01,0.08310083623225796
26554_01,0.02737124039057067
26639_01,0.08347554417564995
27003_01,0.10281894963303759
27136_01,0.23375684618129444
27205_01,0.05275186373414541
27376_01,0.04290466444836245
27431_01,0.05052097554356284
27790_01,0.04142956009548897
27933_01,0.054753293018573276
28059_01,0.43461554035765415
28167_01,0.06059906274241508
28322_01,0.06728158101585865
28696_01,0.05944509822446002
28964_01,0.10696929775611394
29159_01,0.27827452023647004
29291_01,0.2852609352727806
29350_01,0.05046118994742253
29554_01,0.11283000617775893
30036_01,0.14984336538514087
30198_01,0.02289029642473691
30285_01,0.22788410701847403
30353_01,0.037317479643764695
30523_01,0.3244223478133831
30899_01,0.09557463140839037
31280_01,0.1149651752175121
31411_01,0.05075509000738501
31450_01,0.12588068665429972
32047_01,0.10310868049849634
32096_01,0.13022378655172084
32140_01,0.13632773529855058
32230_01,0.4223942479922525
32414_01,0.05805293791400028
32509_01,0.13160035456568503
32727_01,0.07050924469188288
32976_01,0.08185627129432099
33089_01,0.34424274676744737
33395_01,0.17711384345783043
33665_01,0.3015549064426324
33860_01,0.15467087115304992
33873_01,0.12377420404897715
33947_01,0.09629915923661429
34038_01,0.10330608601335278
34099_01,0.05377381726977792
34202_01,0.21441506447246872
34240_01,0.13140440326585598
34256_01,0.05816084480543461
34452_01,0.12506258292868755
34518_01,0.09827352254669013
34579_01,0.07545286843672558
34831_01,0.2891029611572239
35042_01,0.10436439156928512
35483_01,0.0878157204485024
35692_01,0.02473065768128877
36124_01,0.32296455101735555
36227_01,0.08432654624363489
36291_01,0.13765843318831808
36776_01,0.052191089682137023
38056_01,0.02706190924258364
38410_01,0.055622336773969466
38508_01,0.12912241756443152
38530_01,0.3493953293661072
38808_01,0.08077316871031068
39020_01,0.09103918770408365
39096_01,0.19737363837748675
39099_01,0.07474058371936507
39495_01,0.18535252393917706
39510_01,0.031534140296196805
39940_01,0.40180107328241366
40007_01,0.13840514292189846
40294_01,0.03295016908560838
40387_01,0.010571009840710245
40516_01,0.1572132063188008
40536_01,0.03234065762186236
40553_01,0.09624243961716357
40898_01,0.10192019001823405
41017_01,0.03522273617841927
41069_01,0.14787711186900276
41210_01,0.06684938356953163
41231_01,0.008281334908352207
41954_01,0.0668770583620655
42050_01,0.06343989110458968
42076_01,0.04560012470075997
42437_01,0.09597114651378516
42510_01,0.05097189558554837
42567_01,0.06703493516056301
43195_01,0.17893272497747675
43217_01,0.10451312590040765
43330_01,0.1251522140475428
43516_01,0.12950895116419883
43521_01,0.3794849832106477
43696_01,0.1402313712089462
43991_01,0.06339737933921782
44076_01,0.1981638383583234
44224_01,0.09348611361362749
44446_01,0.023418196535124676
